SEQN,sex,age_year,race,education,marital_status,income_pov_rat
109263.0,M,2.0,Non-Hispanic Asian,,,4.66
109264.0,F,13.0,Mexican American,,,0.83
109265.0,M,2.0,Non-Hispanic White,,,3.06
109266.0,F,29.0,Non-Hispanic Asian,College graduate or above,Never married,5.0
109269.0,M,2.0,Other Hispanic,,,0.96
109270.0,F,11.0,Non-Hispanic Black,,,1.88
109271.0,M,49.0,Non-Hispanic White,9-11th grade,Never married,
109273.0,M,36.0,Non-Hispanic White,Some college or AA degree,Never married,0.83
109274.0,M,68.0,Other Race - Including Multi-Racial,Some college or AA degree,Never married,1.2
109275.0,M,6.0,Non-Hispanic White,,,3.74
109277.0,F,12.0,Mexican American,,,1.35
109278.0,F,6.0,Other Hispanic,,,
109279.0,F,17.0,Non-Hispanic White,,,1.19
109280.0,F,2.0,Mexican American,,,1.71
109282.0,M,76.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.61
109284.0,F,44.0,Mexican American,9-11th grade,Married/Living with Partner,
109285.0,M,16.0,Non-Hispanic Black,,,2.39
109287.0,F,11.0,Non-Hispanic White,,,0.59
109288.0,M,5.0,Other Hispanic,,,0.21
109290.0,F,68.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,5.0
109291.0,F,42.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,
109293.0,M,44.0,Non-Hispanic White,High school graduate/GED or equivalent,Never married,0.02
109295.0,F,54.0,Mexican American,Less than 9th grade,Married/Living with Partner,5.0
109296.0,M,10.0,Non-Hispanic Black,,,2.34
109297.0,F,30.0,Non-Hispanic Asian,Some college or AA degree,Never married,
109298.0,M,68.0,Non-Hispanic White,Less than 9th grade,Married/Living with Partner,1.75
109300.0,F,54.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109302.0,F,11.0,Non-Hispanic Black,,,1.59
109303.0,M,18.0,Non-Hispanic Asian,,,1.03
109304.0,F,9.0,Non-Hispanic White,,,3.5
109305.0,M,55.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
109306.0,M,2.0,Non-Hispanic White,,,1.02
109307.0,M,47.0,Non-Hispanic Asian,Less than 9th grade,Married/Living with Partner,1.38
109309.0,M,5.0,Other Hispanic,,,0.87
109310.0,M,8.0,Non-Hispanic Asian,,,5.0
109312.0,F,48.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109313.0,M,63.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
109315.0,F,30.0,Non-Hispanic Black,Some college or AA degree,Never married,2.16
109316.0,F,62.0,Non-Hispanic Black,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.07
109317.0,F,28.0,Non-Hispanic Black,Some college or AA degree,Never married,
109319.0,M,22.0,Non-Hispanic Black,Some college or AA degree,Never married,4.93
109320.0,F,11.0,Other Race - Including Multi-Racial,,,0.91
109321.0,F,19.0,Non-Hispanic Black,,,0.06
109322.0,F,45.0,Mexican American,9-11th grade,Married/Living with Partner,2.79
109323.0,M,22.0,Mexican American,Some college or AA degree,Never married,2.38
109324.0,F,49.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,2.74
109325.0,M,7.0,Non-Hispanic Asian,,,4.78
109326.0,F,44.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
109327.0,F,58.0,Mexican American,College graduate or above,Married/Living with Partner,4.86
109328.0,M,2.0,Other Race - Including Multi-Racial,,,0.73
109330.0,M,76.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,2.37
109331.0,F,19.0,Mexican American,,,0.65
109332.0,M,33.0,Other Hispanic,9-11th grade,Never married,
109333.0,F,41.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,5.0
109334.0,F,54.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,1.0
109335.0,F,55.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.11
109336.0,M,35.0,Mexican American,College graduate or above,Married/Living with Partner,3.65
109337.0,F,48.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,1.18
109338.0,F,10.0,Mexican American,,,2.46
109340.0,M,44.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,1.13
109341.0,F,5.0,Non-Hispanic White,,,5.0
109342.0,F,43.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,1.08
109346.0,F,23.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.15
109347.0,M,2.0,Other Hispanic,,,0.73
109348.0,F,63.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
109349.0,F,47.0,Mexican American,College graduate or above,Married/Living with Partner,
109350.0,M,59.0,Non-Hispanic White,9-11th grade,Never married,1.25
109351.0,M,58.0,Non-Hispanic Black,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.92
109352.0,M,10.0,Other Race - Including Multi-Racial,,,5.0
109358.0,F,14.0,Non-Hispanic White,,,
109360.0,F,14.0,Other Hispanic,,,
109361.0,M,17.0,Other Race - Including Multi-Racial,,,1.04
109362.0,F,3.0,Non-Hispanic Black,,,0.01
109364.0,F,8.0,Other Race - Including Multi-Racial,,,1.2
109365.0,F,49.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,1.15
109367.0,M,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,
109369.0,F,80.0,Other Hispanic,9-11th grade,Widowed/Divorced/Separated,2.07
109371.0,M,62.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,4.56
109372.0,F,13.0,Non-Hispanic White,,,0.46
109373.0,F,30.0,Non-Hispanic White,Some college or AA degree,Never married,1.22
109374.0,M,5.0,Non-Hispanic Black,,,1.14
109376.0,M,23.0,Non-Hispanic White,Some college or AA degree,Never married,3.71
109377.0,M,41.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.57
109378.0,M,36.0,Non-Hispanic White,College graduate or above,Never married,5.0
109379.0,F,66.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.52
109380.0,M,15.0,Mexican American,,,2.25
109381.0,M,13.0,Other Race - Including Multi-Racial,,,1.22
109382.0,F,70.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,1.7
109383.0,M,8.0,Non-Hispanic White,,,3.05
109384.0,F,13.0,Mexican American,,,1.36
109387.0,F,17.0,Other Race - Including Multi-Racial,,,1.65
109388.0,F,11.0,Other Hispanic,,,1.92
109389.0,M,56.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,5.0
109390.0,F,44.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,2.9
