fdcId,brandOwner
1944909,Lunds Inc
1856309,"Lowe's Food Stores, Inc."
1861692,"Snyder's-Lance, Inc."
2216356,"US Foods, LLC"
1909487,C2O LLC
1888683,"Ahold USA, Inc. "
1796587,"La Campagne, Ltd."
1638467,Kemps LLC
1950413,"Regal Health Food International, Inc."
1917952,Beaumont Corp.
1983487,Clear Creek Orchard
1936401,"Safeway, Inc."
2183081,No Brand Owner supplied for New Zealand Data
1955382,Rovira Biscuit Corporation
2114711,Walgreens Co.
1859920,"Bay Valley Foods, LLC"
2059532,"McCormick & Company, Inc."
1873285,"Redco Foods, Inc."
1857023,"Honeytree, Inc."
1912953,Honey Pacifica
2131572,The Kroger Co.
1925211,Polar Corporation
1914156,Mars Chocolate North America LLC
1930156,Cajun Power Sauce Manufacturing
2083865,Crystal Geyser Water Company
1928094,"PepsiCo, Inc. (Health Warrior)"
2020727,"Weis Markets, Inc."
1884323,"Dawn Food Products, Inc. "
1924362,Wendel's Specialty Bread
1627901,Coca-Cola USA Operations
2051505,"Hola Nola Foods, LLC"
2157882,Ferrara Candy Company
1959092,"Aqualink Nevada, LLC"
1459044,SMITHFIELD FOODS INC.
1460529,"Farmland Foods, Inc."
1459504,SMITHFIELD FOODS INC.
1459260,"Farmland Foods, Inc."
1458695,SMITHFIELD FOODS INC.
1460317,"Farmland Foods, Inc."
1459561,SMITHFIELD FOODS INC.
1459034,"Farmland Foods, Inc."
1459751,"Farmland Foods, Inc."
1457534,SMITHFIELD FOODS INC.
1459025,SMITHFIELD FOODS INC.
1457526,"Farmland Foods, Inc."
1460249,SMITHFIELD FOODS INC.
1458431,"Farmland Foods, Inc."
1460107,"Farmland Foods, Inc."
1457686,SMITHFIELD FOODS INC.
1458545,SMITHFIELD FOODS INC.
1460006,"Farmland Foods, Inc."
1458169,"Farmland Foods, Inc."
1458819,SMITHFIELD FOODS INC.
2195617,Lillie's Of Charleston
1457900,"Farmland Foods, Inc."
1459156,"Farmland Foods, Inc."
1457243,"Farmland Foods, Inc."
1458292,"Farmland Foods, Inc."
1459082,"Farmland Foods, Inc."
1459794,"Farmland Foods, Inc."
1459067,SMITHFIELD FOODS INC.
2286977,"Big Y Foods, Inc."
1457727,"Farmland Foods, Inc."
1459069,"Farmland Foods, Inc."
2021997,"Bass Farms, Inc."
1964067,TKF LLC
1459419,"Farmland Foods, Inc."
1459269,SMITHFIELD FOODS INC.
1460341,"Farmland Foods, Inc."
1459076,SMITHFIELD FOODS INC.
1458267,"Farmland Foods, Inc."
1459080,"Farmland Foods, Inc."
1458511,SMITHFIELD FOODS INC.
1460348,SMITHFIELD FOODS INC.
1459291,"Farmland Foods, Inc."
1457994,"Farmland Foods, Inc."
1459126,SMITHFIELD FOODS INC.
1458563,"Farmland Foods, Inc."
1460590,"Farmland Foods, Inc."
2112548,"B&G Foods North America, Inc. "
2248645,"B&G Foods North America, Inc. "
2160231,Zoe's Meats Inc
2323314,"Peckish, LLC."
1949389,Growers Express LLC
1972771,Growers Express LLC
1981096,"Peckish, LLC."
1458133,SMITHFIELD FOODS INC.
1460309,SMITHFIELD FOODS INC.
1458804,SMITHFIELD FOODS INC.
1460263,"Farmland Foods, Inc."
1457263,SMITHFIELD FOODS INC.
1457910,"Farmland Foods, Inc."
1459730,"Farmland Foods, Inc."
1457328,"Farmland Foods, Inc."
1458712,SMITHFIELD FOODS INC.
1457351,SMITHFIELD FOODS INC.
1458837,"Farmland Foods, Inc."
1460038,SMITHFIELD FOODS INC.
1459078,"Farmland Foods, Inc."
1458101,"Farmland Foods, Inc."
1460220,SMITHFIELD FOODS INC.
1459182,"Farmland Foods, Inc."
1457927,"Farmland Foods, Inc."
2096414,Falcon Trading Company Inc.
