age_lower,age_upper,sex,vit_a,vit_e,vit_d,vit_c,thiamin_b1,riboflavin_b2,niacin,vit_b6,vit_b12,choline,vit_k,folate,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc
2,3,M/F,300,6,600,15,0.5,0.5,6,0.5,0.9,200,30,150,700,7,80,460,2000,1200,3
4,8,F,400,7,600,25,0.6,0.6,8,0.6,1.2,250,55,200,1000,10,130,500,2300,1500,5
9,13,F,600,11,600,45,0.9,0.9,12,1.0,1.8,375,60,300,1300,8,240,1250,2300,1800,8
14,18,F,700,15,600,65,1.0,1.0,14,1.2,2.4,400,75,400,1300,15,360,1250,2300,2300,9
19,30,F,700,15,600,75,1.1,1.1,14,1.3,2.4,425,90,400,1000,18,310,700,2600,2300,8
31,50,F,700,15,600,75,1.1,1.1,14,1.3,2.4,425,90,400,1000,18,320,700,2600,2300,8
51,150,F,700,15,600,75,1.1,1.1,14,1.5,2.4,425,90,400,1200,8,320,700,2600,2300,8
4,8,M,400,7,600,25,0.6,0.6,8,0.6,1.2,250,55,200,1000,10,130,500,2300,1500,5
9,13,M,600,11,600,45,0.9,0.9,12,1.0,1.8,375,60,300,1300,8,240,1250,2500,1800,8
14,18,M,900,15,600,75,1.2,1.3,16,1.3,2.4,550,75,400,1300,11,410,1250,3000,2300,11
19,30,M,900,15,600,90,1.2,1.3,16,1.3,2.4,550,120,400,1000,8,400,700,3400,2300,11
31,50,M,900,15,600,90,1.2,1.3,16,1.3,2.4,550,120,400,1000,8,420,700,3400,2300,11
51,150,M,900,15,600,90,1.2,1.3,16,1.7,2.4,550,120,400,1000,8,420,700,3400,2300,11
